filename,ID,count_StoExon,count_StoEnd,count_ExontoEnd,psi
TCGA-06-0750-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0750,10,27,16,0.675
TCGA-06-0878-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0878,18,41,23,0.666666666666667
TCGA-06-0882-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0882,169,92,177,0.347169811320755
TCGA-06-1804-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-1804,75,163,95,0.657258064516129
TCGA-06-2557-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-2557,75,64,77,0.457142857142857
TCGA-06-2558-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-2558,60,117,63,0.65546218487395
TCGA-06-2559-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-2559,33,83,50,0.666666666666667
TCGA-06-2561-01A-02R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-2561,50,47,40,0.510869565217391
TCGA-06-2562-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-2562,34,68,38,0.653846153846154
TCGA-06-2563-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-2563,23,36,27,0.590163934426229
TCGA-06-2564-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-2564,73,104,72,0.589235127478754
TCGA-06-2565-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-2565,52,68,47,0.578723404255319
TCGA-06-2567-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-2567,175,302,211,0.61010101010101
TCGA-06-2569-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-2569,30,15,25,0.352941176470588
TCGA-06-2570-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-2570,29,25,34,0.442477876106195
TCGA-06-5408-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-5408,29,98,21,0.796747967479675
TCGA-06-5410-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-5410,58,35,69,0.355329949238579
TCGA-06-5411-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-5411,43,38,56,0.434285714285714
TCGA-06-5412-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-5412,35,46,36,0.56441717791411
TCGA-06-5413-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-5413,46,82,56,0.616541353383459
TCGA-06-5414-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-5414,38,62,65,0.54625550660793
TCGA-06-5416-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-5416,11,20,7,0.689655172413793
