ID_in_Cello2,Patient,Batch,geneSymbol,I_exon8_covbases,I_exon8_meandepth,I_exon9_covbases,I_exon9_meandepth,I_exon10_covbases,I_exon10_meandepth,I_form2_covbases,I_form2_meandepth,I_form4_covbases,I_form4_meandepth,R_exon8_covbases,R_exon8_meandepth,R_exon9_covbases,R_exon9_meandepth,R_exon10_covbases,R_exon10_meandepth,R_form2_covbases,R_form2_meandepth,R_form4_covbases,R_form4_meandepth,I_norm_form4,R_norm_form4,Source.x,I_11_10,I_11_9,I_11_8,I_10_9,I_9_8,R_11_10,R_11_9,R_11_8,R_10_9,R_9_8,I_psi,R_psi,RvI,Diff
PS072,R072,E,CD47,32,544.094,25,15.2,33,18.2121,32,544.094,58,16.91378103,32,491.938,25,23.72,33,16.3333,32,491.938,58,19.51722241,0.031086138,0.039674151,NG2016,28,17,541,9,27,20,18,480,8,27,0.049209139,0.04,0.964864133,-0.009209139
PS074,R074,E,CD47,32,522.188,25,11.2,33,11.7879,32,522.188,58,11.53449483,32,484.281,25,7.32,33,6.21212,32,484.281,58,6.689654483,0.022088778,0.01381358,NG2016,19,10,464,7,29,4,2,442,2,27,0.039337474,0.00896861,0.688888889,-0.030368864
PS076,R076,E,CD47,32,120.938,25,68.24,33,69.7576,32,120.938,58,69.10346207,32,256.094,25,190.88,33,253.182,32,256.094,58,226.3276897,0.571395774,0.883768029,NG2016,78,5,51,57,70,247,13,81,169,148,0.604651163,0.75304878,1.197898976,0.148397618
PS077,R077,E,CD47,32,371.375,25,21.88,33,22.7576,32,371.375,58,22.37932414,32,1429.03,25,94.6,33,65.9394,32,1429.03,58,78.2931069,0.060260718,0.054787588,NG2016,19,8,347,16,28,74,39,1292,53,153,0.051912568,0.054172767,1.273166966,0.002260199
PS078,R078,E,CD47,32,322.188,25,20.32,33,23.1818,32,322.188,58,21.94826552,32,367.75,25,10.44,33,16.2424,32,367.75,58,13.74136552,0.068122542,0.037366052,NG2016,6,10,307,1,16,20,9,350,9,15,0.019169329,0.054054054,1.376623377,0.034884725
PS080,R080,E,CD47,32,558.188,25,19.52,33,17.7576,32,558.188,58,18.51725517,32,742.344,25,49.88,33,51.6364,32,742.344,58,50.87933103,0.033173868,0.068538752,NG2016,16,16,504,5,28,58,19,653,32,68,0.030769231,0.081575246,2.103732859,0.050806015
PS081,R081,E,CD47,32,482.812,25,17.32,33,24.5758,32,482.812,58,21.4483,32,435.125,25,30.52,33,42.4242,32,435.125,58,37.29307931,0.044423709,0.085706588,NG2016,18,16,461,5,19,18,5,380,12,30,0.037578288,0.045226131,1.539737758,0.007647843
PS082,R082,E,CD47,32,1881.75,25,73.4,33,24.1212,32,1881.75,58,45.36206207,32,3383,25,102.72,33,47.0303,32,3383,58,71.03448103,0.024106317,0.020997482,NG2016,35,68,1791,16,117,68,83,3279,32,203,0.019167579,0.020316702,0.974861465,0.001149122
PS083,R083,E,CD47,32,2699.16,25,247.12,33,149.97,32,2699.16,58,191.845,32,2856,25,359.16,33,310.364,32,2856,58,331.3967586,0.071075816,0.11603528,NG2016,160,149,2647,106,301,354,103,2466,288,396,0.057000356,0.125531915,1.647799765,0.068531559
PS084,R084,E,CD47,32,211.031,25,5.92,33,8.09091,32,211.031,58,7.155172931,32,403.562,25,38.72,33,37.8182,32,403.562,58,38.2069069,0.033905791,0.094674194,NG2016,5,2,217,4,8,49,18,393,28,49,0.022522523,0.110859729,3.811869126,0.088337206
PS085,R085,E,CD47,32,396.062,25,17.08,33,8.42424,32,396.062,58,12.15517103,32,618.156,25,31.96,33,20.6364,32,618.156,58,25.51726207,0.030690071,0.041279648,NG2016,19,23,368,2,15,30,21,521,12,46,0.049095607,0.054446461,1.539513838,0.005350854
PS086,R086,E,CD47,32,315.125,25,4.16,33,6.24242,32,315.125,58,5.344825172,32,307.969,25,7.36,33,9.39394,32,307.969,58,8.517241724,0.016960968,0.027656166,NG2016,8,7,319,0,13,7,7,285,3,10,0.024464832,0.023972603,0.908818042,-0.000492229
PS087,R087,E,CD47,32,699.906,25,45.52,33,44.0909,32,699.906,58,44.70689138,32,611.188,25,218.12,33,207.879,32,611.188,58,212.2932241,0.063875565,0.34734521,NG2016,47,18,639,33,62,218,16,397,172,257,0.06851312,0.354471545,4.763015016,0.285958425
PS088,R088,E,CD47,32,312.812,25,26.48,33,34.4848,32,312.812,58,31.03445517,32,580.312,25,11.4,33,9.72727,32,580.312,58,10.44827431,0.099211204,0.018004581,NG2016,26,7,273,18,29,15,11,566,7,18,0.086956522,0.025817556,0.309527897,-0.061138966
PS089,R089,E,CD47,32,511.094,25,32,33,28.2424,32,511.094,58,29.86205517,32,455.562,25,92.44,33,100.909,32,455.562,58,97.25856897,0.058427716,0.2134914,NG2016,35,15,476,20,43,105,19,364,77,92,0.068493151,0.223880597,2.812335412,0.155387446
PS090,R090,E,CD47,32,606.312,25,32.76,33,19.697,32,606.312,58,25.32760345,32,1036.16,25,53.32,33,48.0909,32,1036.16,58,50.34482241,0.041773218,0.048587885,NG2016,26,27,588,7,42,48,36,910,29,69,0.042345277,0.050104384,1.105013818,0.007759107
PS091,R091,E,CD47,32,386.5,25,9.68,33,13.0303,32,386.5,58,11.58620517,32,367.062,25,104.72,33,109.939,32,367.062,58,107.689431,0.029977245,0.293382129,NG2016,13,8,382,5,10,120,6,256,88,94,0.032911392,0.319148936,10.0861181,0.286237544
PS092,R092,E,CD47,32,437.812,25,18.56,33,6.45455,32,437.812,58,11.67241638,32,250.688,25,43.12,33,43.1515,32,250.688,58,43.13792241,0.026660796,0.172078131,NG2016,11,26,432,1,21,49,9,208,32,36,0.0248307,0.190661479,4.750499002,0.165830779
